gene,rank 1,rank 2,rank 3,rank 4,rank 5,rank 6,rank 7,rank 8,rank 9,rank 10,rank 11,rank 12,rank 13,rank 14,rank 15,rank 16,rank 17,rank 18,rank 19,rank 20
AAAS,0,0,0.183737846,0,0,0.006385606,0.012832153,0,0.002538076,0,0.00382607,0.038465641,0.3326865,0.031017163,0.256254016,0,0,0.014507622,0.113199176,0
AAK1,0,0,0,0,0.139638343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAR2,0,0,0,0,0,0,0,0,0,0.016517285,0,0,0,0,0,0,0,0,0.034697999,0
AARS2,0,0,0,0.081641518,0,0.225145843,0,0,0,0,0,0,0,0,0,0,0,0.00159877,0,0
AASDH,0,0.093911078,0,0,0,0,0,0,0,0.085718862,0,0,0,0,0.005184047,0,0,0,0,0
AASS,0,0,0.009671638,0.31929083,0,0.002137155,0,0,0,0,0.009719852,0,0,0.001140455,0,0,0,0.060271493,0.020268758,0
AATF,0,0,0,0,0,0.000672223,0,0.352329352,0.019806741,0.044161235,0,0,0,0,0,0,0,0,0,0
ABCA3,0,0,0.06005075,0,0,0.001213468,0,0,0,0,0,0,0,0.089579094,0.014028034,0,0,0,0,0
ABCB1,0,0,0.015556061,0,0,0,0.061392271,0,0,0,0.056573908,0,0.070138338,0,0,0,0,0,0,0.161331355
ABCB10,0,0.000918143,0.008484498,0.21810327,0,0.018228859,0.004120352,0,0,0,0,0,0,0,0.01686064,0,0,0.001711251,0.016622382,0
ABCB7,0,0.011397625,0.059798724,0.232918113,0,0,0,0,0.002685985,0,0.003825437,0,0.378275302,0,0,0.000301421,0,0.003981817,0,0
ABCC1,0.02313684,0,0.079401506,0.002793088,0,0,0.124310703,0.002784181,0,0,0.699760594,0,0.000987979,0.091137196,0,0.005934253,0,4.40E-05,0,0
ABCC4,0,0,0.190930343,0,0,0,0,0,0,0,0,0,0.003161249,0,0,0,0,0,0,0
ABCC5,0.023269576,0,0,0,0,0,0.036011965,0,0,0,0.585346407,0,0,0.021744646,0,0,0,0,0,0
ABCD1,0,0,0,0,0,0,0,0,0,0,0,0,0.433610699,0,0,0,0,0,0.013096485,0
ABCD3,0,0,0.083395179,0,0.000200938,0.014114185,0.006890374,0,0,0,0.024038622,0.004341712,0.476219053,0.032474683,0,0,0,0.005266315,0.050768658,0.026377376
ABCE1,0,0,0.0127683,0,0.00072641,0.000391558,0.008694612,0,0,0,0.036818518,0,0,0.092312738,0,0.006654804,0.046528854,0.004291641,0.202237443,0.046767649
ABCF2,0.043175129,0,5.23E-05,0,0.152981181,0,0.033773373,0.005628873,0.10286399,0,0.178333594,0,0,0,0.12846848,0.119013869,0.140883713,0.001432411,0.125592315,0
ABCF3,0,0,0,0,0.001240551,0,0,0,0,0,0,0,6.89E-06,0,0,0.276395284,0.014258956,0,0,0
ABHD10,0,0,0,0.335163279,7.84E-05,0,0,0.000516556,0.002703122,0.001261021,0,0,8.12E-05,0,0,0.002017864,0.00042526,0,0,1.38E-05
ABHD12,0,0,0.239485472,0,0,0.291924179,0,0,0,0,0,0,0,0,0.080282018,0,0,0,0,0
ABI1,0.389418891,0,0,0,0.144804834,0,0.010455958,0,0,0,0.313203509,0,0,0,0.006118394,0,0.000976813,0.000616589,0,0
ABI2,0.044621393,0,0,0,0,0,0,0,0,0,0.193945246,0,0,0,0,0,0.001393427,0,0,0
ABL2,0.14981925,0,0,0,0.037589275,0.004330697,0.047606088,0,0,0,0.299004259,0.006425192,0.034968418,0.016342192,0.006838818,0,0.058897195,0.004107784,0,0.062531096
ABLIM1,0.414695658,0,0,0,0.337760281,0,0,0,0,0,0.018186207,0.114267274,0,0,0.002337577,0,0.043889208,0,0,0.020833628
ABR,0,0,0,0,0.117233348,0,0,0.001517305,0,0,0.164134914,0.003849874,0,0,0.003082343,0,0.020877168,0,0,0
ABRAXAS1,0.014088345,0.035549232,0,0,0.000131267,0,0,0,0,0,0.002262271,0.03702471,0,0.012481878,0,0,0.000306894,0,0,0.002770507
ACAA1,0,0,0,0.002030259,0.009559539,0,0,0,0,0.002306587,0,0.014770837,0,0,0,0.003364265,0,0,0.009431189,0
ACAD11,0,0.007825401,0.000723638,0.001453454,0.007477224,0,0,8.92E-06,0,0.000280886,0,0.015087739,0.000503952,0,0.006309274,0.002429139,0,0,0.019003906,0
ACAD9,0,0,0,0.279195405,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017767731,0.007457372,0
ACADM,0,0,0,0.200890527,0,0.01790349,0,0,0,0.00014807,0,0,0,0,0,0,0,0,0.005539123,0
ACADSB,0,0.013211499,0,0.25260405,0.003659691,0.002893056,0.010205943,0,0.038670186,0,0.018434633,0,0.04176508,0,0,0.005940349,0.000438176,0.005576965,0.008991926,0
ACADVL,0,0,0,0.27648467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAP2,0.018972859,0,0,0,0,0,0.007456035,0,0.000500369,0,0.128523352,0,0.002653585,0,0.006161159,0,0,0,0,0.015481787
ACAT1,0,0.017424873,0.016151904,0.33468682,0.022355434,0.036908468,0,0.01590481,0,0,0,0,0,0.028894157,0.001000742,0.005673565,0,0.019983155,0.026633433,0.010848185
ACBD3,0.137888905,0,0,0,0.000182873,0,0.072427521,0,0,0,0,0,0.007337872,0.451064155,0.205176156,0,0,0.002203114,0.01805363,0.04058403
ACBD4,0,0,0,0,0,0,0,0,0,0,0,0.001278322,0.208666609,0,0,0,0,0,0.063538253,0
ACBD5,0,0,0.011542142,0,0,0,0,0,0,0,0,0,0.389331954,0.01348275,0.168006282,0,0,0,0.030727307,0
ACIN1,0,0.028233302,0,0.003202447,0,0,0,0.057702226,0.017531131,0.390721275,0,0,0,0,0,0,0,0,0,0
ACO2,0,0,0,0.280093535,0,0.040465547,0,0,0,0,0,0,0,0,0,0,0,0,0.003705305,0
