Prey,Top_Localization
AAAS,rank 13
AAK1,rank 5
AAR2,rank 19
AARS2,rank 6
AASDH,rank 2
AASS,rank 4
AATF,rank 8
ABCA3,rank 14
ABCB1,rank 20
ABCB10,rank 4
ABCB7,rank 13
ABCC1,rank 11
ABCC4,rank 3
ABCC5,rank 11
ABCD1,rank 13
ABCD3,rank 13
ABCE1,rank 19
ABCF2,rank 11
ABCF3,rank 16
ABHD10,rank 4
ABHD12,rank 6
ABI1,rank 1
ABI2,rank 11
ABL2,rank 11
ABLIM1,rank 1
ABR,rank 11
ABRAXAS1,rank 12
ACAA1,rank 12
ACAD11,rank 19
ACAD9,rank 4
ACADM,rank 4
ACADSB,rank 4
ACADVL,rank 4
ACAP2,rank 11
ACAT1,rank 4
ACBD3,rank 14
ACBD4,rank 13
ACBD5,rank 13
ACIN1,rank 10
ACO2,rank 4
ACOT1,rank 4
ACOT2,rank 4
ACOT7,rank 19
ACOT8,rank 12
ACOT9,rank 4
ACOX1,rank 12
ACSF3,rank 4
ACSL3,rank 15
ACSL4,rank 13
ACSS1,rank 4
ACTA1,rank 11
ACTA2,rank 5
ACTB,rank 19
ACTBL2,rank 5
ACTC1,rank 5
ACTG1,rank 19
ACTL6A,rank 2
ACTN1,rank 19
ACTN4,rank 5
ACTR10,rank 17
ACTR2,rank 1
ADAM17,rank 3
ADAM22,rank 11
ADAM9,rank 11
ADAR,rank 8
ADCK2,rank 18
ADCY3,rank 11
ADCY6,rank 11
ADCY9,rank 15
ADD1,rank 1
ADD2,rank 1
ADD3,rank 1
ADGRL1,rank 1
ADGRL2,rank 1
ADIPOR1,rank 11
ADIPOR2,rank 3
ADNP,rank 2
ADNP2,rank 2
ADPGK,rank 6
AFDN,rank 1
AFF4,rank 10
AFG3L2,rank 4
AFTPH,rank 20
AGAP1,rank 11
AGAP3,rank 11
AGFG1,rank 1
AGFG2,rank 20
AGGF1,rank 9
AGK,rank 18
AGO2,rank 12
AGPAT1,rank 15
AGPAT3,rank 3
AGTPBP1,rank 5
AHCTF1,rank 15
AHCYL1,rank 1
AHCYL2,rank 11
AHNAK2,rank 20
AHSA1,rank 19
AIF1L,rank 5
AIFM1,rank 18
AIFM2,rank 15
AIP,rank 19
AK2,rank 18
AK3,rank 4
AK4,rank 4
AKAP1,rank 18
AKAP10,rank 20
AKAP11,rank 15
AKAP12,rank 1
AKAP13,rank 5
AKAP17A,rank 10
AKAP2,rank 5
AKAP5,rank 1
AKAP8,rank 10
