prey,10-Sep,9-Sep,AARS2,ACBD5,ACTB,ACTR1A,ACTR2,ACTR3,AGPS,AIFM1,AKAP1,AKAP1_target,AMOT,ANAPC2,ANK3,ANKFY1,AP2B1,APEX1,ARF6,ASF1A,ASH2L,ATG12,ATP2A1,B3GAT1,BCAP31,BORCS6,C11orf52,CALR3,CALU,CAMSAP2,CAV1,CBX3,CCDC14,CD3EAP,CDK5RAP2,CENPA,CEP135,CKAP4,CLIP1,CLTA,CLTB,COIL,COX4I1,COX8A_target,CS,CTNNA1,CTNNB1,CXADR,CYP2C1_sigseq,CYP2C9,DCTN1,DCTN2,DDX23,DENND6A,DERL1,DHFRL1,DHX40,DHX8,DIRAS3,DYNC1I2,EBAG9,EIF6,ELOVL5,EMD,EPB41L4A_Cterm,ERGIC1,ERGIC2,EZR,FBL,FLOT1,GFAP,GJA1,GJD3,GOLGA1,GOLGA2,GORASP1,HIST1H2BG,HIST1H3A,HNRNPA1,HSD17B11,HSD3B7,IMPDH2,KDM1A,KIF2A,KRAS_Q61H,KRAS_target,KRT18,KRT19,KRT8,LAMP1,LAMP2,LAMP3,LAMTOR1,LAMTOR1_target_peptide,LATS1,LCK,LMAN1,LMNA,LMNB1,LNPK_Cterm,LNPK_Nterm,LRRC59_Cterm,LRRC59_Nterm,LYN,LYN_target,MAPRE1,MAPRE3,MARCKS,MARCKS_target,METTL7A,MLLT4,NCBP3,NDC80,NEFM,NIFK,NOP56,NPM1,NUP155_Cterm,NUP155_Nterm,NUP50,OCLN,PAFAH1B1,PANX1,PARD3,PARP1,PCM1,PCNT,PDHA1,PDIA4,PEX14,PEX3,PFN1,PHB2,POLR1E,POLR2C,PRPF8,PRPH,PTK2,PXMP2,Pxn,RAB11A,RAB2A,RAB35,RAB3B_Nterm,RAB4A,RAB5A,RAB5C,RAB9A,RDX,REEP5,RHOB,RPL31,RPN1,RPN2,RPS20,RPS24,RPS6,SASS6,SEC61B_Cterm,SEC61B_Nterm,SEC62,SERBP1,SFXN1,SQSTM1,SSR1,STIL,STIM1,STX4,STX6,STX7,SV40_NLS,SYNE3_Cterm,SYNE3_Nterm,TERF2IP,TJP1,TJP2,TMOD1,TMPO,TRAP1,TRIM36_Cterm,TRIM36_Nterm,TUBA1A,TUBA4A,TUBB,UTP4,VAPA,VASP,VCL,VIM,ZFPL1,ZNF330_target,ZYX
_c1orf22_rank 1,0,0,0,0,2.27,0,0,0,0,0,0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,5.69,4.98,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,1.54
NP_000009.1_rank 4,0,0,3.4123310998250544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6678585277076814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP_000010.1_rank 4,0,0,4.2626798770413155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7372792220886897,4.667077908043936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.866038105335567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.418445506983466,0,0,0,0,2.6022559024852696,0,0,0,0,0,0,0,0
NP_000012.1_rank 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.323833689913148,0,0,0,0,0,0,0,3.323833689913148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP_000024.2_rank19,0,0,0,0,0,0,0,0,0,0,0,3.938383893380329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.635287511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP_000029.2_rank 1,0.6970088671410671,0,0,0,0,0,0,1.2280904552672887,0,0,0,0,0.7857997853197305,0.7229484155482188,0,0,0.8554550432096801,0,0,0,0,0,0,0.7365125437343423,0,0,0,0,0,0,1.4682292680700821,0,0,0,0,0,1.3101279390803682,0,0,0,0,0,0,0,0,2.338445096147734,3.043516957635794,0,0,0,1.2434234757483262,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9420551511427767,0,0,0.6567925637856951,0,1.1719494833253523,0,0.761459788,0,1.2669822814775853,0,0,0,0,0,0,0,0,0.8327714756360622,0,0,0,0.6290540988661597,0.761459788,0.9624141606061297,0,0,0,0,0,1.2203348711465907,0,0,0,0,0,0,0,0,0.8666067460651496,0,1.3726597984818216,1.7674302563541742,0,0,0,1.258524940406019,0,0,0,0,0,0,0,0,0,1.8827541868663231,0,0,1.0498397114440265,0,0,0,0,0,0,0,0.6005242063324556,0,0,0,0,0,0.6290540988661597,0,0.8441775760737155,0,0,0.5859481052310699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0590303894950104,0,0,0,0,0,0,0,1.1302327396551863,0,1.762915032556657,0,0,0,0,0.9317180737099496,0,0,0.9488876456397772,0,0,0,0,0.797751167,0,0,0,0,0,0,0,0,0.7100627462623629,0,0.6970088671410671
NP_000043.3_rank 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7534179753296324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6625878267928944,0,0,0,0,0,0,0,0,0,0,0,0,2.538973871321434,2.6625878267928944,0,0,0,0,0,0,0,0,0,0,0,4.054679305887473,4.054679305887473,0,0,0,2.3978952727983707,2.538973871321434,3.044522437723423,0,3.6720723357128096,0,0,0,0,0,0,0,0,0,4.581560320383088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.538973871321434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.961830721705896,3.378724526,0,2.3978952727983707,0,2.6625878267928944,0,0,0,3.320228319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6625878267928944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP_000044.2_rank 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6845684589955203,3.143475340118295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.161067130029956,3.954977877347403,3.3429944555679842,4.3318553977811485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2808085646545444,0,0,3.6064804456887574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP_000048.1_rank 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3816966518343947,0,1.1128598727585421,0,0,0,0,0,0,0,0,0,0,0,1.741097405923116,0,1.6097201591987347,0,1.3382272947522174,0,0,0,0,0,1.1941149181346284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6437063693451563,1.1941149181346284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.938067276069271,2.0265498231243337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5395877324203313,1.1403089888418092,0,0,0,2.342836706,0,0,0,0,1.402742675857299,0,0,0,0,0,0,0,0,1.2682687059400206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5575873183628723,0,0,0,1.244156627674279,2.1431747809696846,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2682687059400206,0,0,3.033030777947169,0,0,0,0,0,0,0,0,0,0,1.291813054455295,0,0,0,0,0,1.3601981528247724,0
NP_000050.2_rank 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9958922387252287,0,0,0,0.7179967691216272,0,1.3237433310794335,1.0428640940015164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9325300528984422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1316097192939478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.794830747396929,2.117967162471038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
